Name,Location,Paid Staff (#),Volunteers (#),Year Founded,Funding Bodies,Website,Genre,Physical address,Latitude,Longitude
Alabama Jazz Music Hall of Fame,"Birmingham, Alabama, US",X,,1978/1993,City of Birmingham,http://www.jazzhall.com/index.htm,Jazz,"1631 Fourth Avenue North, Birmingham, AL 35203",33.514824,-86.8118113
Alabama Music Hall of Fame,"Tuscumbia, Alabama, US",X,X,1987,Alabama State,"http://www.alamhof.org/

https://www.facebook.com/pages/Alabamas-Music-Hall-of-Fame/120666157980371",All,"617 Highway 72, West, Tuscumbia, AL 35674",34.7059929,-87.6549492
American Jazz Museum,"Kansas City, Missouri, US",X,X,1997,"Many community and business sponsors; City of Kansas City, Missouri",http://americanjazzmuseum.org/wp-signup.php?new=www.americanjazzmuseum.com,Jazz,"1616 East 18th Street Kansas City, MO 64108 United States ",39.0915663,-94.5627254
Archiv Osterreichischer Popularmusik,Austria,X,X,1993,AKM/GFÖM; BKA; bm:bwk; FAFO; IFPI; Land Oberösterreich; LSG; OSTIG; SKE-Fond der austro mechana; Stadt Linz; Wien Kultur; Wirtschaftskammer Wien,http://www.sra.at/,Pop,"Museum Square 5.1
A-1070 Vienna",48.2052706,16.3561709
Archives Internationales de Musique Populaire (AIMP),"Geneva, Switzerland",X,,1944,Department of Culture and Sport City of Geneva,http://www.ville-ge.ch/meg/phonotheque.php,"Swiss Music; popular, folk","Boulevard Carl-Vogt 65-67 
CH - 1205 Geneva",46.1979415,6.1371087
Archives Musicales - ville de Bruxelles,"Brussels, Belgium",,,,,http://www.bruxelles.be/artdet.cfm/4470,"Opera, Orchestra","Archives de la Ville de Bruxelles, Rue des Tanneurs, 65, 1000 Bruxelles",50.8394999,4.3460723
Archives of African American Music and Culture,"Bloomington, Indiana, USA",X,,1991,Indiana University ,http://www.indiana.edu/~aaamc/,African American,"Indiana University
Smith Research Center, Suites 180-181
2805 E. Tenth Street
Bloomington Indiana",39.1747947,-86.5013916
Asbury Park Musical Heritage Foundation ,"Asbury Park, New Jersey, US",X,X,2012,,http://www.asburyparkmusiclives.org/,All,"708 Cookman Ave. Asbury Park, NJ 07712",40.2157574,-74.0124257
Association for Cultural Equity (ACE online archive),USA,X,,1983,,http://www.culturalequity.org,"America Field Recordings, ","450 West 41st Street
Suite 602-606
New York, NY 10036",40.7583561,-73.9952671
Augusta Heritage Center,"Elkins, Wisconsin",X,,1973/1981,"West Virginia Commission on the Arts

West Viriginia Humanities Council

National Endowment for the Arts",https://augustaheritagecenter.org/,American folk music,"Augusta Heritage Center
of Davis & Elkins College
Jennings Randolph Hall, 1st Floor
100 Campus Drive
Elkins, WV 26241",38.9318243,-79.8463677
Australian Archive of Jewish Music,"Melbourne, AUS",,,1994,Monash University,"http://artsonline.monash.edu.au/acjc/australian-archive-of-jewish-music/

https://www.facebook.com/ACJCmonash/info","Folk, Traditional","Monash Caulfield Campus, 900 Dandenong Rd, Caulfied East, Building H, Level 8
Melbourne, Victoria, Australia 3145",-37.8763981,145.0548502
BBC Sound Archive,,,,,BBC,http://www.bbc.co.uk/archive/index.shtml,All,,,
Belfast Music Exhibition,"Belfast, UK",,,2010,"Belfast City Council

European Regional Development Fund ","http://www.belfastmusic.org/music-tour.aspx

https://www.facebook.com/belfastmusic/info",All,"Oh Yeah Music Centre
15-22 Gordon Street
Belfast
Northern Ireland
BT1 2LG",54.6020594,-5.9270925
Bethel Woods Centre for the Arts,"Bethel, NY, US",X,X,2008,"Gerry Foundation

Commercial Sponsors:

Crystal Run Healthcare

Mobil

Rolling V Bus Corporation",http://www.bethelwoodscenter.org/,Popular Music,"200 HURD ROAD, BETHEL, NY 12720",41.6966322,-74.8773957
Bibliotheque et Archives Nationales du Quebec,"Montreal, Canada",X,,2006,,http://www.banq.qc.ca/collections/collection_numerique/index.html?categorie=8,Classical Music,"475, boulevard De Maisonneuve Est, Montréal (Québec) H2L 5C4",45.5154553,-73.5623129
Birthplace of Country Music,"Nashville, Tennessee, US",X,X,1998,,"http://www.birthplaceofcountrymusic.org/

https://www.facebook.com/birthplaceofcountrymusic",Country,"520 Birthplace of Country Music Way
Bristol, VA 24201",36.5962645,-82.1828561
