"url","Value 1","Link 1","Link 1_link","Value 2","Content","Link 2","Link 2_link","Value 3"
"http://www.espn.com/nba/salaries/_/seasontype/4","RK","","","NAME","TEAM","","","SALARY"
"http://www.espn.com/nba/salaries/_/seasontype/4","1","LeBron James","http://www.espn.com/nba/player/_/id/1966/lebron-james",", SF","Cleveland Cavaliers","Cleveland Cavaliers","http://www.espn.com/nba/team/_/name/cle/cleveland-cavaliers","$30,963,450"
"http://www.espn.com/nba/salaries/_/seasontype/4","2","Mike Conley","http://www.espn.com/nba/player/_/id/3195/mike-conley",", PG","Memphis Grizzlies","Memphis Grizzlies","http://www.espn.com/nba/team/_/name/mem/memphis-grizzlies","$26,540,100"
"http://www.espn.com/nba/salaries/_/seasontype/4","3","Al Horford","http://www.espn.com/nba/player/_/id/3213/al-horford",", C","Boston Celtics","Boston Celtics","http://www.espn.com/nba/team/_/name/bos/boston-celtics","$26,540,100"
"http://www.espn.com/nba/salaries/_/seasontype/4","4","Dirk Nowitzki","http://www.espn.com/nba/player/_/id/609/dirk-nowitzki",", PF","Dallas Mavericks","Dallas Mavericks","http://www.espn.com/nba/team/_/name/dal/dallas-mavericks","$25,000,000"
"http://www.espn.com/nba/salaries/_/seasontype/4","5","Carmelo Anthony","http://www.espn.com/nba/player/_/id/1975/carmelo-anthony",", SF","New York Knicks","New York Knicks","http://www.espn.com/nba/team/_/name/ny/new-york-knicks","$24,559,380"
"http://www.espn.com/nba/salaries/_/seasontype/4","6","Damian Lillard","http://www.espn.com/nba/player/_/id/6606/damian-lillard",", PG","Portland Trail Blazers","Portland Trail Blazers","http://www.espn.com/nba/team/_/name/por/portland-trail-blazers","$24,328,425"
"http://www.espn.com/nba/salaries/_/seasontype/4","7","Chris Bosh","http://www.espn.com/nba/player/_/id/1977/chris-bosh",", PF","Miami Heat","Miami Heat","http://www.espn.com/nba/team/_/name/mia/miami-heat","$23,741,060"
"http://www.espn.com/nba/salaries/_/seasontype/4","8","Dwyane Wade","http://www.espn.com/nba/player/_/id/1987/dwyane-wade",", SG","Chicago Bulls","Chicago Bulls","http://www.espn.com/nba/team/_/name/chi/chicago-bulls","$23,200,000"
"http://www.espn.com/nba/salaries/_/seasontype/4","9","Dwight Howard","http://www.espn.com/nba/player/_/id/2384/dwight-howard",", C","Atlanta Hawks","Atlanta Hawks","http://www.espn.com/nba/team/_/name/atl/atlanta-hawks","$23,180,275"
"http://www.espn.com/nba/salaries/_/seasontype/4","10","Chris Paul","http://www.espn.com/nba/player/_/id/2779/chris-paul",", PG","LA Clippers","LA Clippers","http://www.espn.com/nba/team/_/name/lac/la-clippers","$22,868,827"
"http://www.espn.com/nba/salaries/_/seasontype/4","RK","","","NAME","TEAM","","","SALARY"
"http://www.espn.com/nba/salaries/_/seasontype/4","11","Chandler Parsons","http://www.espn.com/nba/player/_/id/6466/chandler-parsons",", SF","Memphis Grizzlies","Memphis Grizzlies","http://www.espn.com/nba/team/_/name/mem/memphis-grizzlies","$22,116,750"
"http://www.espn.com/nba/salaries/_/seasontype/4","12","Bradley Beal","http://www.espn.com/nba/player/_/id/6580/bradley-beal",", SG","Washington Wizards","Washington Wizards","http://www.espn.com/nba/team/_/name/wsh/washington-wizards","$22,116,750"
"http://www.espn.com/nba/salaries/_/seasontype/4","13","Anthony Davis","http://www.espn.com/nba/player/_/id/6583/anthony-davis",", PF","New Orleans Pelicans","New Orleans Pelicans","http://www.espn.com/nba/team/_/name/no/new-orleans-pelicans","$22,116,750"
"http://www.espn.com/nba/salaries/_/seasontype/4","14","Derrick Rose","http://www.espn.com/nba/player/_/id/3456/derrick-rose",", PG","New York Knicks","New York Knicks","http://www.espn.com/nba/team/_/name/ny/new-york-knicks","$21,323,252"
"http://www.espn.com/nba/salaries/_/seasontype/4","15","Marc Gasol","http://www.espn.com/nba/player/_/id/3206/marc-gasol",", C","Memphis Grizzlies","Memphis Grizzlies","http://www.espn.com/nba/team/_/name/mem/memphis-grizzlies","$21,165,675"
"http://www.espn.com/nba/salaries/_/seasontype/4","16","Brook Lopez","http://www.espn.com/nba/player/_/id/3448/brook-lopez",", C","Brooklyn Nets","Brooklyn Nets","http://www.espn.com/nba/team/_/name/bkn/brooklyn-nets","$21,165,675"
"http://www.espn.com/nba/salaries/_/seasontype/4","17","Kevin Love","http://www.espn.com/nba/player/_/id/3449/kevin-love",", PF","Cleveland Cavaliers","Cleveland Cavaliers","http://www.espn.com/nba/team/_/name/cle/cleveland-cavaliers","$21,165,675"
"http://www.espn.com/nba/salaries/_/seasontype/4","18","Nicolas Batum","http://www.espn.com/nba/player/_/id/3416/nicolas-batum",", SG","Charlotte Hornets","Charlotte Hornets","http://www.espn.com/nba/team/_/name/cha/charlotte-hornets","$20,869,566"
"http://www.espn.com/nba/salaries/_/seasontype/4","19","LaMarcus Aldridge","http://www.espn.com/nba/player/_/id/2983/lamarcus-aldridge",", PF","San Antonio Spurs","San Antonio Spurs","http://www.espn.com/nba/team/_/name/sa/san-antonio-spurs","$20,575,005"
"http://www.espn.com/nba/salaries/_/seasontype/4","20","Blake Griffin","http://www.espn.com/nba/player/_/id/3989/blake-griffin",", PF","LA Clippers","LA Clippers","http://www.espn.com/nba/team/_/name/lac/la-clippers","$20,140,839"
"http://www.espn.com/nba/salaries/_/seasontype/4","RK","","","NAME","TEAM","","","SALARY"
"http://www.espn.com/nba/salaries/_/seasontype/4","21","Paul Millsap","http://www.espn.com/nba/player/_/id/3015/paul-millsap",", PF","Atlanta Hawks","Atlanta Hawks","http://www.espn.com/nba/team/_/name/atl/atlanta-hawks","$20,072,033"
"http://www.espn.com/nba/salaries/_/seasontype/4","22","Ryan Anderson","http://www.espn.com/nba/player/_/id/3412/ryan-anderson",", PF","Houston Rockets","Houston Rockets","http://www.espn.com/nba/team/_/name/hou/houston-rockets","$18,735,364"
"http://www.espn.com/nba/salaries/_/seasontype/4","23","Allen Crabbe","http://www.espn.com/nba/player/_/id/2531210/allen-crabbe",", SG","Portland Trail Blazers","Portland Trail Blazers","http://www.espn.com/nba/team/_/name/por/portland-trail-blazers","$18,500,000"
"http://www.espn.com/nba/salaries/_/seasontype/4","24","Paul George","http://www.espn.com/nba/player/_/id/4251/paul-george",", SF","Indiana Pacers","Indiana Pacers","http://www.espn.com/nba/team/_/name/ind/indiana-pacers","$18,314,532"
